Variable,SHAP_medio
Amt_Max,1.199529
emb_8,0.76271737
Amt_Min,0.26396394
emb_9,0.25085798
Burstiness,0.22889931
Unique_Formats,0.20995608
StdNbr_Degree,0.20865001
StdNbr_InDegree,0.20455964
emb_15,0.19434041
Total_Paid_EUR,0.19419034
N_Tx_Total,0.18383865
Mean_DeltaT,0.18307368
Ratio_Flujo,0.15879686
Total_Received_EUR,0.14590292
N_Banks_Counterparty,0.14576165
In_Degree,0.14165673
emb_6,0.14127333
emb_12,0.13788109
Out_Degree,0.1346216
emb_3,0.12988965
Total_EUR,0.12893333
Media_EUR,0.12219221
Unique_Currencies,0.11307239
emb_5,0.10469436
Amt_Std,0.102852605
MeanNbr_Degree,0.094990514
emb_14,0.0838992
MeanNbr_InDegree,0.07993714
MeanNbr_OutDegree,0.07586733
MaxNbr_Degree,0.07417306
Total_Neighbors,0.073104896
emb_0,0.07260375
emb_10,0.06781787
emb_7,0.058704015
emb_1,0.05767946
PageRank,0.05629302
emb_11,0.0477854
MaxNbr_InDegree,0.04589407
StdNbr_OutDegree,0.034412846
PctNeighbors_Exclusive,0.027764153
MaxNbr_OutDegree,0.022990134
emb_2,0.02258659
Amt_Mean,0.020487122
emb_4,0.019649165
Frac_InterBanco,0.017763272
Clustering,0.0068810247
Reciprocity,0.0022289825
emb_13,0.0018265564
En_Ciclo,0.00017217774
